"user_hll","post_hll","pud_hll","latitude_4","longitude_4","emoji","latlng_geom"
"\x128b7faa8c11e754e9b795c9daa195a6d28d38","\x128b7fa2f3286506a39152e5dbfff7bd7dc50c7ae963485b9ee360","\x128b7f81ca8f785b26935fed3402ec7c89c87522e57fea50684ea6",44.033203125,10.01953125,"🤩","0101000020E61000001B81785DBF6024403A3B191C25FB4540"
"\x128b7f946df0df57a87268b9f3f54e050d4a48e212ca3d9f5dd396eb826bb1ce6a22170c79104027db48513670ff56ed049ec64102fbceaf646025626574f72bf1bb0e","\x128b7f85b0514f9706d606d7782ed0a04b2018e9a4bccce6e9817b081be068ddf459e808579900ef78387c096effd57c0d6c6b132331c54c3c03ed4d73208b465966db57f5dae37eab442178fa48ba2a606bca7ef4012af6d9a935","\x128b7f826b85d541dbfcefcd870f504f209ee5f615d4194d3fad1910c2246b72f66e991223cea5c2ca47252b3652a905ab65504a8849e5792910d4501bc3a6a2d0766c578b2fa334ebbd76637e50cd97de9fbc",37.001953125,30.76171875,"😳","0101000020E610000023A64412BDD63E40037CB779E3844240"
"\x128b7fca0ce41ec009784c","\x128b7fc2ccce0f2fc0e507","\x128b7f047f86ba99e284a8",51.416015625,-0.17578125,"🕛","0101000020E6100000232E008DD2A5D3BFF87475C762B84940"
"\x128b7fdad7b94b32c05037e3550589423504660df68402cb8f9aeb19c19f5a501d715d332819c1bb0f28b6","\x128b7f89cad81fa779fea3a44cfeba7a63c9b5d3fe2f89b00842aade8770161de1ca3223a71de4abd430be259d3899cf0f88ff","\x128b7fba03f6e43bd91c181d717ff14d6763163127f8fca6cafd7951f185a00abfd23d76fc93391ce2df31",51.591796875,-2.98828125,"🎉","0101000020E6100000E3395B40683D08C0373FFED2A2D24940"
"\x128b7fc87ccda486f2754d","\x128b7fc8092459f6eb6d5a","\x128b7f8d96be51a8f0ff94",49.833984375,11.42578125,"😍","0101000020E6100000AAB706B64AD026400A68226C78E24840"
"\x128b7f12b0a827c100296b","\x128b7f9530a49d0f9a77f101aed498b8b39089493fcc0481040be36fc436905d30bbeb","\x128b7fa482e7f04c66866ece0a8aaac0548850f70c1af389cb7c71673f673fd0aee836",51.240234375,7.20703125,"😂","0101000020E61000008C0B0742B2281C403530F2B226A54940"
"\x128b7f45b955e536bea460","\x128b7f33f5438a677424de","\x128b7f153ca15754617d26",41.396484375,2.28515625,"🥳","0101000020E610000046EBA86A82680140BDE3141DC9B14440"
"\x128b7f1d8b5f0ad7e5bcac","\x128b7fbf43cbc0975765fe","\x128b7f299de5a51fee634e",51.767578125,4.74609375,"🔴","0101000020E6100000D0DCF934DD8112402BEB483F2BE84940"
"\x128b7fe623aaa1fdcada015b236665db1ae36d","\x128b7fc2f525e71fced45ad7a7c4206f451a0f210c3620b81abcad44416e7be9ac8049","\x128b7fff730ca679a3c5961b0db189738dbfe51f417adb8f747bce",53.173828125,-1.93359375,"💙","0101000020E61000002AC76471FFB1FEBFD6BFEB3367A04A40"
"\x128b7f0bb3d2b4bf4c135c1e9130b856d6d06e","\x128b7f1dad0afa914411f46227a503a3b14345","\x128b7f816ea7826c8eff2018c21b24b19d8fb1",52.470703125,4.74609375,"🔴","0101000020E61000005340DAFF004B134026FF93BF7B454A40"
"\x128b7f1d8b5f0ad7e5bcac","\x128b7fbf43cbc0975765fe","\x128b7f299de5a51fee634e",51.767578125,4.74609375,"🚒","0101000020E6100000D0DCF934DD8112402BEB483F2BE84940"
"\x128b7f0fe618b347595620","\x128b7f070ed8ec2a21de84","\x128b7f13ad9053d2133dbc",51.591796875,-2.98828125,"🎉","0101000020E61000003FC6DCB584FC07C0FAEDEBC039CB4940"
"\x128b7f0fe618b347595620","\x128b7f070ed8ec2a21de84","\x128b7f13ad9053d2133dbc",51.591796875,-2.98828125,"📦","0101000020E61000003FC6DCB584FC07C0FAEDEBC039CB4940"
"\x128b7f0fe618b347595620","\x128b7f070ed8ec2a21de84","\x128b7f13ad9053d2133dbc",51.591796875,-2.98828125,"🎊","0101000020E61000003FC6DCB584FC07C0FAEDEBC039CB4940"
"\x128b7fbd892dd014038aa6e27ab5c323c5a47c20b4ab4d6ac2fa4d","\x128b7f99f58dae12d5e471a428a2673019e93f2ff92b0489b24cf1628e2fc7c406d54e","\x128b7f0490777346eb0eef0b89dd937eec129c300e53abb6bda88d6acbbab4e56337e6",51.416015625,-1.93359375,"🎉","0101000020E6100000183F8D7BF3DBFFBF0E32C9C859AD4940"
"\x128b7f09b6b38fe8a41f3c14b6a726e4d9a843","\x128b7fb97db32841d04466ba41fac73e0c8c2bca82fc2900a84ef213ac2dbcd819e8a431df792787fd0e44","\x128b7f82cb9a0c41e4777a8622f9220098be7fcb8419d746bb173bea66832df308cf0fedadc8fe24f4372c",52.646484375,5.44921875,"🤢","0101000020E61000003E76172829081640C710001C7B5A4A40"
